Adobe After Effects 8.0 Keyframe Data

	Units Per Second	25
	Source Width	1920
	Source Height	1080
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Rotation
	Frame	degrees
	0	-0.00000
	1	4.60155
	2	9.20310
	3	13.80465
	4	18.40620
	5	23.00775
	6	27.60930
	7	32.21085
	8	36.81240
	9	41.41395
	10	46.01550
	11	50.61705
	12	55.21860
	13	59.82014
	14	64.42169
	15	69.02325
	16	73.62479
	17	78.22634
	18	82.82790
	19	87.42944
	20	92.03099
	21	96.63255
	22	101.23409
	23	105.83564
	24	110.43719
	25	115.03874

Transform	Scale
	Frame	X percent	Y percent	Z percent
	0	12.900	12.900	100
	1	12.796	11.554	100
	2	12.692	10.230	100
	3	12.588	8.950	100
	4	12.484	7.738	100
	5	12.380	6.615	100
	6	12.276	5.603	100
	7	12.172	4.726	100
	8	12.068	4.004	100
	9	11.964	3.461	100
	10	11.860	3.119	100
	11	11.756	3.000	100
	12	11.652	3.137	100
	13	11.548	3.534	100
	14	11.444	4.170	100
	15	11.340	5.027	100
	16	11.236	6.084	100
	17	11.132	7.322	100
	18	11.028	8.719	100
	19	10.924	10.256	100
	20	10.820	11.913	100
	21	10.716	13.671	100
	22	10.612	15.508	100
	23	10.508	17.405	100
	24	10.404	19.343	100
	25	10.300	21.300	100

Transform	Position
	Frame	X pixels	Y pixels	Z pixels
	0	165.000	973.000	0
	1	222.147	904.105	0
	2	279.337	835.827	0
	3	336.612	768.784	0
	4	394.015	703.594	0
	5	451.588	640.873	0
	6	509.375	581.241	0
	7	567.418	525.313	0
	8	625.759	473.707	0
	9	684.441	427.041	0
	10	743.507	385.933	0
	11	803.000	351.000	0
	12	862.861	321.407	0
	13	922.992	295.707	0
	14	983.370	273.602	0
	15	1043.976	254.791	0
	16	1104.789	238.976	0
	17	1165.788	225.856	0
	18	1226.953	215.133	0
	19	1288.262	206.506	0
	20	1349.695	199.676	0
	21	1411.232	194.343	0
	22	1472.852	190.209	0
	23	1534.533	186.974	0
	24	1596.256	184.337	0
	25	1658.000	182.000	0


End of Keyframe Data
